Time (UTC),Toyama (m),Sado (m),Fukaura (m),Saigo (m),Rudnaya (m),Preobrazheniye (m),Sosunovo (m)
2024/01/01 01:53:00,0.007,-0.001,0.001,0.027,-0.012,0.006,0.009
2024/01/01 01:54:00,0.014,-0.022,-0.008,0.027,-0.022,0.007,-0.011
2024/01/01 01:55:00,0.012,-0.021,-0.004,0.018,-0.001,0.007,-0.020
2024/01/01 01:56:00,-0.011,-0.005,0.012,0.021,-0.011,0.008,-0.030
2024/01/01 01:57:00,-0.004,-0.005,0.015,0.009,0.010,0.018,-0.019
2024/01/01 01:58:00,0.012,0.002,0.019,0.013,0.071,0.009,-0.009
2024/01/01 01:59:00,0.001,0.018,0.007,0.016,0.011,-0.001,-0.008
2024/01/01 02:00:00,0.005,0.024,0.005,0.022,0.032,-0.010,0.012
2024/01/01 02:01:00,0.006,-0.003,0.002,0.013,0.012,-0.010,0.013
2024/01/01 02:02:00,0.025,0.001,-0.016,0.010,0.013,-0.009,0.013
2024/01/01 02:03:00,0.014,0.017,0.003,0.004,-0.007,-0.029,-0.006
2024/01/01 02:04:00,0.012,-0.001,-0.009,-0.005,0.014,-0.008,-0.016
2024/01/01 02:05:00,0.013,-0.016,-0.011,0.002,0.004,-0.008,-0.005
2024/01/01 02:06:00,0.016,-0.012,0.008,-0.001,-0.025,-0.017,0.015
2024/01/01 02:07:00,0.005,0.016,0.032,0.011,-0.034,-0.007,0.016
2024/01/01 02:08:00,-0.007,0.001,0.030,0.005,-0.014,-0.027,0.006
2024/01/01 02:09:00,0.012,0.002,-0.003,-0.007,0.047,-0.016,-0.013
2024/01/01 02:10:00,-0.009,0.020,-0.006,-0.010,0.017,-0.006,-0.003
2024/01/01 02:11:00,0.010,0.000,-0.009,0.002,-0.022,-0.005,0.008
2024/01/01 02:12:00,0.011,-0.012,-0.021,0.005,-0.022,-0.005,0.008
2024/01/01 02:13:00,0.023,0.001,-0.051,-0.001,0.039,-0.015,-0.001
2024/01/01 02:14:00,0.017,-0.011,-0.008,-0.001,0.029,-0.014,0.009
2024/01/01 02:15:00,0.024,-0.017,-0.004,-0.007,0.020,-0.004,0.010
2024/01/01 02:16:00,0.009,0.008,0.002,0.002,0.000,-0.013,0.000
2024/01/01 02:17:00,0.012,0.009,0.039,-0.001,0.011,-0.013,0.021
2024/01/01 02:18:00,0.009,0.015,0.018,0.005,0.031,-0.013,-0.029
2024/01/01 02:19:00,-0.006,0.025,0.010,0.005,0.022,0.018,-0.018
2024/01/01 02:20:00,0.010,0.010,-0.005,-0.013,0.022,0.008,0.002
2024/01/01 02:21:00,-0.015,-0.002,-0.023,-0.013,0.012,0.018,-0.017
2024/01/01 02:22:00,0.007,-0.016,-0.001,-0.004,-0.047,0.019,-0.007
2024/01/01 02:23:00,-0.006,-0.010,-0.035,-0.001,0.013,0.019,-0.006
2024/01/01 02:24:00,0.016,-0.009,0.005,-0.007,0.004,0.019,-0.006
2024/01/01 02:25:00,0.016,-0.003,0.015,-0.001,0.024,0.020,-0.006
2024/01/01 02:26:00,0.006,0.013,0.009,0.003,0.035,0.030,0.015
2024/01/01 02:27:00,0.003,0.019,0.022,-0.013,-0.015,0.030,-0.005
2024/01/01 02:28:00,0.021,-0.001,0.013,-0.022,0.015,0.021,0.006
2024/01/01 02:29:00,0.012,-0.019,0.007,-0.006,-0.004,0.021,-0.004
2024/01/01 02:30:00,-0.004,-0.013,-0.017,0.006,-0.044,-0.009,-0.034
2024/01/01 02:31:00,-0.004,-0.018,-0.028,0.009,0.006,-0.018,-0.013
2024/01/01 02:32:00,0.005,-0.015,-0.007,-0.003,-0.023,0.002,-0.013
2024/01/01 02:33:00,-0.004,-0.017,-0.003,-0.003,-0.053,0.022,0.007
2024/01/01 02:34:00,-0.008,-0.014,0.003,-0.003,0.007,0.013,-0.032
2024/01/01 02:35:00,-0.002,0.008,0.001,-0.009,-0.012,-0.007,-0.002
2024/01/01 02:36:00,0.007,0.030,-0.002,0.001,-0.022,0.023,-0.002
2024/01/01 02:37:00,0.004,0.015,-0.005,0.004,-0.012,0.024,0.008
2024/01/01 02:38:00,0.000,-0.003,-0.004,0.001,0.019,0.004,-0.001
2024/01/01 02:39:00,0.018,-0.015,-0.019,-0.002,-0.011,0.004,0.029
2024/01/01 02:40:00,0.009,-0.039,-0.009,-0.005,0.029,-0.005,0.019
2024/01/01 02:41:00,0.023,-0.035,-0.003,-0.013,0.040,-0.005,0.039
2024/01/01 02:42:00,0.005,-0.001,-0.005,-0.001,-0.010,-0.025,0.010
2024/01/01 02:43:00,-0.008,0.020,0.010,0.002,-0.010,-0.014,0.030
2024/01/01 02:44:00,-0.005,0.030,0.002,-0.010,-0.040,-0.014,0.030
2024/01/01 02:45:00,0.004,0.027,-0.001,0.000,-0.059,-0.054,0.010
2024/01/01 02:46:00,-0.024,-0.009,-0.006,-0.015,-0.009,-0.053,-0.020
2024/01/01 02:47:00,-0.034,-0.030,-0.006,-0.003,-0.059,-0.023,-0.009
2024/01/01 02:48:00,-0.003,-0.020,-0.005,0.001,0.011,-0.043,0.011
2024/01/01 02:49:00,0.002,-0.005,-0.014,-0.011,-0.018,-0.022,0.021
2024/01/01 02:50:00,-0.007,0.002,0.005,0.005,0.012,-0.022,0.011
2024/01/01 02:51:00,0.008,0.026,-0.004,0.005,-0.008,-0.012,0.011
2024/01/01 02:52:00,0.014,0.024,0.021,-0.010,0.022,0.019,0.001
2024/01/01 02:53:00,0.019,0.000,0.003,0.003,-0.027,-0.001,0.022
2024/01/01 02:54:00,0.004,-0.018,-0.005,0.000,-0.017,0.009,0.002
2024/01/01 02:55:00,-0.011,-0.006,0.026,-0.011,0.003,0.020,0.002
2024/01/01 02:56:00,-0.027,-0.021,-0.026,0.001,-0.007,0.010,0.012
2024/01/01 02:57:00,-0.024,0.004,0.011,-0.011,0.023,0.010,0.012
2024/01/01 02:58:00,-0.012,0.007,0.009,-0.004,0.033,0.031,0.022
2024/01/01 02:59:00,-0.042,0.010,-0.018,-0.003,0.014,0.021,0.012
2024/01/01 03:00:00,-0.015,0.020,0.025,0.006,-0.006,0.021,-0.008
2024/01/01 03:01:00,-0.009,0.002,-0.020,0.004,-0.006,0.002,-0.008
2024/01/01 03:02:00,0.000,0.002,0.011,-0.005,0.034,0.002,-0.018
2024/01/01 03:03:00,0.000,-0.013,-0.013,-0.017,-0.006,0.002,-0.017
2024/01/01 03:04:00,0.000,-0.013,-0.018,-0.001,0.024,0.013,-0.007
2024/01/01 03:05:00,-0.021,-0.006,-0.011,0.000,0.015,0.003,0.023
2024/01/01 03:06:00,-0.012,0.000,0.010,0.000,-0.025,-0.037,0.003
2024/01/01 03:07:00,-0.009,0.016,0.002,0.007,0.015,-0.006,0.003
2024/01/01 03:08:00,-0.039,0.016,0.002,0.008,0.005,-0.016,0.013
2024/01/01 03:09:00,-0.017,0.010,0.024,0.008,0.035,-0.036,0.003
2024/01/01 03:10:00,-0.023,-0.008,0.010,-0.004,0.025,-0.015,-0.017
2024/01/01 03:11:00,-0.011,-0.017,-0.005,0.000,0.005,-0.035,0.013
2024/01/01 03:12:00,-0.041,-0.002,-0.020,-0.002,0.026,-0.035,0.013
2024/01/01 03:13:00,-0.022,0.017,0.008,0.017,0.006,-0.035,0.023
2024/01/01 03:14:00,0.002,0.017,-0.006,0.005,0.016,-0.034,-0.007
2024/01/01 03:15:00,-0.006,0.014,0.000,0.005,0.036,-0.014,-0.007
2024/01/01 03:16:00,-0.015,-0.001,0.016,0.000,0.026,0.006,0.013
2024/01/01 03:17:00,-0.005,-0.022,-0.008,0.010,-0.004,0.017,0.003
2024/01/01 03:18:00,-0.002,-0.016,0.005,0.001,-0.004,0.007,-0.026
2024/01/01 03:19:00,-0.010,-0.004,-0.004,-0.017,-0.044,0.017,-0.026
2024/01/01 03:20:00,-0.001,0.015,-0.015,0.002,-0.013,0.007,-0.026
2024/01/01 03:21:00,0.003,0.033,0.004,-0.003,-0.013,0.018,-0.016
2024/01/01 03:22:00,-0.005,0.027,0.007,0.006,-0.043,0.008,-0.006
2024/01/01 03:23:00,-0.005,0.006,0.001,0.001,-0.023,0.038,-0.006
2024/01/01 03:24:00,-0.004,-0.006,0.005,-0.008,-0.003,0.038,-0.006
2024/01/01 03:25:00,-0.018,-0.024,-0.001,-0.017,0.027,0.029,-0.026
2024/01/01 03:26:00,-0.021,-0.018,0.009,-0.004,0.017,0.029,-0.016
2024/01/01 03:27:00,-0.020,-0.021,-0.003,-0.003,0.007,0.029,-0.016
2024/01/01 03:28:00,-0.013,0.003,0.004,-0.006,0.037,0.039,-0.006
2024/01/01 03:29:00,0.009,0.015,-0.008,0.004,-0.003,0.040,-0.016
2024/01/01 03:30:00,-0.005,0.019,0.005,-0.008,0.018,0.030,-0.006
2024/01/01 03:31:00,0.011,0.016,0.011,0.001,-0.032,0.020,-0.015
2024/01/01 03:32:00,0.009,0.001,0.012,-0.004,0.038,0.000,-0.025
2024/01/01 03:33:00,0.019,-0.012,0.000,-0.010,0.028,0.000,-0.025
2024/01/01 03:34:00,0.011,-0.021,-0.002,0.003,0.008,-0.009,-0.005
2024/01/01 03:35:00,-0.007,-0.018,0.007,-0.006,-0.032,-0.029,-0.015
2024/01/01 03:36:00,-0.009,-0.005,-0.005,0.000,-0.022,-0.029,-0.005
2024/01/01 03:37:00,0.004,0.028,0.029,0.004,-0.012,-0.039,0.005
2024/01/01 03:38:00,-0.004,0.013,-0.004,-0.002,-0.042,-0.029,-0.025
2024/01/01 03:39:00,-0.003,0.004,0.006,0.010,-0.002,-0.028,-0.015
2024/01/01 03:40:00,0.019,-0.014,0.015,0.008,-0.022,-0.038,-0.005
2024/01/01 03:41:00,0.017,-0.029,-0.021,0.002,-0.042,-0.028,-0.004
2024/01/01 03:42:00,0.024,-0.023,0.010,0.002,0.028,-0.038,-0.004
2024/01/01 03:43:00,0.040,0.007,-0.017,0.002,-0.012,-0.008,-0.014
2024/01/01 03:44:00,0.014,0.050,-0.002,0.021,-0.082,0.132,-0.004
2024/01/01 03:45:00,0.008,0.014,-0.008,0.021,-0.002,0.012,0.006
2024/01/01 03:46:00,0.022,-0.005,0.005,0.006,-0.012,0.042,-0.024
2024/01/01 03:47:00,0.013,-0.023,0.002,0.012,0.018,0.013,0.006
2024/01/01 03:48:00,-0.025,-0.026,0.018,0.006,0.038,0.003,-0.004
2024/01/01 03:49:00,0.003,-0.014,-0.003,0.009,-0.002,0.003,-0.003
2024/01/01 03:50:00,0.013,-0.001,0.003,0.000,0.018,0.013,-0.013
2024/01/01 03:51:00,0.023,-0.001,0.006,0.012,0.008,0.013,0.017
2024/01/01 03:52:00,-0.010,-0.001,0.007,0.012,0.008,0.013,0.007
2024/01/01 03:53:00,0.021,0.011,-0.002,0.000,-0.022,-0.027,0.017
2024/01/01 03:54:00,0.022,0.011,-0.008,0.000,-0.012,0.003,0.027
2024/01/01 03:55:00,0.023,0.008,-0.005,-0.015,-0.002,0.023,0.027
2024/01/01 03:56:00,-0.001,0.021,0.014,0.009,-0.012,0.023,0.017
2024/01/01 03:57:00,0.015,0.009,-0.023,-0.006,0.038,0.003,0.037
2024/01/01 03:58:00,0.022,-0.016,-0.013,-0.006,-0.043,0.003,0.027
2024/01/01 03:59:00,0.004,-0.016,0.002,0.003,-0.013,0.003,-0.002
2024/01/01 04:00:00,0.017,-0.013,-0.013,-0.022,-0.013,-0.027,-0.002
2024/01/01 04:01:00,0.026,0.018,-0.001,0.003,0.027,-0.037,0.008
2024/01/01 04:02:00,0.020,0.006,-0.010,0.005,-0.023,-0.027,0.028
2024/01/01 04:03:00,0.006,0.012,0.036,0.002,0.007,-0.027,0.018
2024/01/01 04:04:00,0.009,0.009,0.000,0.005,0.017,0.013,0.008
2024/01/01 04:05:00,-0.012,0.003,-0.012,-0.007,0.026,-0.007,0.008
2024/01/01 04:06:00,-0.012,-0.015,0.006,0.004,0.036,0.003,-0.002
2024/01/01 04:07:00,-0.020,-0.009,-0.015,0.007,-0.004,-0.007,-0.002
2024/01/01 04:08:00,-0.002,0.004,-0.021,0.010,-0.014,0.023,-0.002
2024/01/01 04:09:00,0.010,-0.008,-0.021,-0.003,0.006,0.013,0.028
2024/01/01 04:10:00,0.020,0.001,-0.009,0.012,0.025,0.003,-0.002
2024/01/01 04:11:00,0.008,-0.005,-0.009,0.015,0.005,-0.007,0.008
2024/01/01 04:12:00,0.023,0.010,0.007,0.006,-0.035,0.003,-0.002
2024/01/01 04:13:00,0.017,-0.002,-0.005,-0.004,-0.005,-0.007,-0.002
2024/01/01 04:14:00,-0.005,0.001,0.022,0.005,0.024,-0.007,-0.002
2024/01/01 04:15:00,-0.014,-0.005,0.007,0.017,0.014,-0.007,-0.002
2024/01/01 04:16:00,-0.005,-0.020,0.007,0.013,0.004,-0.007,0.008
2024/01/01 04:17:00,-0.017,-0.013,0.007,-0.002,-0.006,-0.027,0.008
2024/01/01 04:18:00,-0.023,-0.016,0.010,-0.006,-0.027,-0.007,0.018
