,id,date,value
543,13139,2022-01-15 11:28:00,1016.2
544,13142,2022-01-15 11:28:00,1017.2
545,13143,2022-01-15 11:28:00,1015.2
546,13146,2022-01-15 11:30:00,1001.6
547,13149,2022-01-15 11:27:00,1021.7
548,13150,2022-01-15 11:27:00,1020.2
549,13151,2022-01-15 11:25:00,1012.7
550,13152,2022-01-15 11:27:00,1016.2
551,13154,2022-01-15 11:28:00,1018.2
552,13157,2022-01-15 11:29:00,993.1
553,13158,2022-01-15 11:28:00,1020.9
554,13159,2022-01-15 11:27:00,1018.0
555,13160,2022-01-15 11:27:00,1018.2
556,13161,2022-01-15 11:29:00,1013.1
557,13162,2022-01-15 11:28:00,1017.3
558,13163,2022-01-15 11:28:00,1021.3
559,13164,2022-01-15 11:29:00,1015.7
560,13169,2022-01-15 11:30:00,986.1
561,13170,2022-01-15 11:30:00,993.4
562,13171,2022-01-15 11:30:00,984.8
563,13172,2022-01-15 11:21:00,1013.6
564,13173,2022-01-15 11:28:00,1014.9
565,14021,2022-01-15 11:28:00,1007.3
566,14022,2022-01-15 11:28:00,1000.0
567,14023,2022-01-15 11:28:00,1015.2
568,14024,2022-01-15 11:28:00,1017.5
569,14027,2022-01-15 11:26:00,1016.0
570,14028,2022-01-15 11:26:00,1020.9
571,14032,2022-01-15 11:27:00,1018.8
572,14033,2022-01-15 11:27:00,1019.6
573,14034,2022-01-15 11:27:00,1015.6
574,14037,2022-01-15 11:27:00,1020.0
575,14042,2022-01-15 11:28:00,1018.6
576,14043,2022-01-15 11:28:00,1015.0
577,14044,2022-01-15 11:28:00,1013.4
578,14045,2022-01-15 11:27:00,1018.2
579,14047,2022-01-15 11:27:00,1021.9
580,14048,2022-01-15 11:27:00,1015.6
581,14050,2022-01-15 11:27:00,1013.7
582,14054,2022-01-15 11:27:00,1022.9
583,14063,2022-01-15 11:28:00,985.5
584,14064,2022-01-15 11:26:00,1019.7
585,14065,2022-01-15 11:28:00,1016.8
586,14066,2022-01-15 11:27:00,1016.7
587,14069,2022-01-15 11:27:00,1019.6
588,14071,2022-01-15 12:18:00,995.6
589,14072,2022-01-15 11:29:00,1005.2
590,14073,2022-01-15 11:29:00,976.7
591,14076,2022-01-15 11:28:00,990.2
592,14078,2022-01-15 11:28:00,993.3
593,14079,2022-01-15 11:28:00,990.3
594,14080,2022-01-15 11:28:00,997.8
595,14081,2022-01-15 11:28:00,1018.2
596,14082,2022-01-15 11:28:00,1013.9
597,14085,2022-01-15 11:27:00,1014.2
598,14086,2022-01-15 11:27:00,1016.2
599,14087,2022-01-15 11:28:00,1019.4
600,14091,2022-01-15 11:28:00,1005.3
601,14092,2022-01-15 11:28:00,1020.2
602,14094,2022-01-15 11:27:00,1018.7
603,14095,2022-01-15 11:27:00,1020.5
604,14097,2022-01-15 11:28:00,1022.5
605,14098,2022-01-15 11:26:00,1014.4
606,14101,2022-01-15 11:28:00,1012.3
607,14103,2022-01-15 11:27:00,1018.1
608,14104,2022-01-15 11:27:00,993.1
609,14106,2022-01-15 11:29:00,1004.7
610,15001,2022-01-15 11:39:00,1024.5
611,15003,2022-01-15 11:40:00,1023.9
612,15004,2022-01-15 11:39:00,1025.3
613,15007,2022-01-15 11:39:00,1014.5
614,15009,2022-01-15 11:38:00,1011.9
615,15010,2022-01-15 11:39:00,1022.6
616,15011,2022-01-15 11:39:00,1024.8
617,15012,2022-01-15 11:43:00,1021.8
618,15014,2022-01-15 11:43:00,1025.2
619,15015,2022-01-15 11:40:00,1017.8
620,15016,2022-01-15 11:40:00,1022.1
621,15017,2022-01-15 11:41:00,1022.8
622,15020,2022-01-15 11:38:00,1007.9
623,15021,2022-01-15 11:38:00,1018.7
624,15024,2022-01-15 11:40:00,1025.2
625,15025,2022-01-15 11:40:00,1024.0
626,15026,2022-01-15 11:39:00,1001.8
627,15030,2022-01-15 11:40:00,1026.2
628,15031,2022-01-15 11:40:00,1024.5
629,15032,2022-01-15 11:40:00,1024.9
630,15034,2022-01-15 11:40:00,1027.0
631,15035,2022-01-15 11:40:00,1026.7
632,15036,2022-01-15 11:40:00,1025.4
633,15037,2022-01-15 11:39:00,1008.9
634,15038,2022-01-15 11:40:00,1024.0
635,15044,2022-01-15 11:41:00,1015.1
636,15045,2022-01-15 11:40:00,1024.7
637,15051,2022-01-15 11:39:00,1021.7
638,15053,2022-01-15 11:39:00,1018.1
639,15054,2022-01-15 11:38:00,1017.0
